# DOE ARM Utqiagvik liquid-containing cloud durations -- Genie's event list
# ==========================================================================
#
# Written by northSlope_alaska_doeARM/
#   barrow_liquidContaining_cloud_susceptibility_fromGenies_data.ipynb (9f)
# from cloudDuration_ALL.csv, supplied by Genie Lorenzo Pearson 2026-09-17:
# the duration in minutes of EVERY liquid-containing (liquid + mixed-phase)
# cloud, non-precipitating, LWP threshold 0 g m-2, over 11 cold seasons
# (2014/15-2024/25, Oct 1 - Mar 31). One 30-s sample = 0.5 min is the
# resolution; the shortest cloud is one sample.
#
# LOSSLESS COMPRESSION of the list: every duration is a multiple of one
# sample and only a few hundred distinct values occur, so each row is one
# distinct duration and the number of clouds that had it. Expanding the
# rows (duration repeated n_clouds times) gives the original list exactly.
#
# 64,594 clouds; 17,392.5 h in total, 1,581.1 h/season.
# Mean 16.16 min, median 3.0 min, max 3218.5 min.
#
# KNOWN DISCREPANCY (notebook section 9a): the durations sum to 6.4% LESS
# than the ver2 seasonal liquid-containing totals (17,392 h vs 18,574 h),
# and the list matches the PRE-correction (ver1) total + a few percent.
# Provenance not yet confirmed with Genie. Retained FRACTIONS are the
# quantity to use from this file; absolute hours carry that caveat.
#
n_seasons,11
duration_min,n_clouds
354,2
354.5,2
355,2
357,1
358.5,1
359,1
359.5,1
360,2
361,1
361.5,2
362,1
362.5,2
363.5,1
364,1
364.5,1
365.5,2
366,2
367.5,2
368,1
368.5,1
369,2
370,1
371,1
373,3
373.5,1
374,1
378,2
379,1
380.5,2
381.5,1
382.5,1
383,3
383.5,1
384,1
384.5,1
385.5,2
387,1
388,1
389,2
391,1
391.5,1
392,2
392.5,2
393,1
394.5,1
395.5,1
396.5,1
399,1
399.5,1
400,2
401,1
405,1
405.5,2
406,1
407,1
408,2
408.5,1
411,2
411.5,1
412,2
413,3
413.5,1
414,1
414.5,1
415.5,2
416,1
418.5,2
419,1
420,2
422,2
424,1
424.5,1
425.5,1
426,2
429,2
429.5,2
431,1
432.5,1
434,1
434.5,1
437.5,1
440,1
441,1
442,1
443.5,1
444,1
444.5,1
445,1
445.5,1
447,1
449,1
450,1
450.5,1
451.5,1
453,2
453.5,1
454,1
456,3
456.5,1
458.5,1
459,2
459.5,1
460.5,1
462,1
464,1
466,1
466.5,2
467,1
468,2
469,3
469.5,2
471,2
472,2
472.5,1
473,1
476,1
477,2
478.5,2
479,1
480,1
482.5,1
483,1
485,2
